实习职位,实习薪资,工作地点,实习天数,实习月份
运营实习（港台剧方向）,100-150/天,深圳,5天/周,9个月
文案实习生,50-100/天,成都,5天/周,7个月
视觉设计实习生（视频方向）,100-150/天,北京,5天/周,7个月
电商美工/设计,150-300/天,苏州,5天/周,3个月
内容运营实习生,面议,广州,3天/周,4个月
前端开发工程师,150-200/天,北京,5天/周,7个月
法律类编辑,100-150/天,北京,2天/周,4个月
NGP产品实习生,150-200/天,北京,5天/周,7个月
项目管理实习生,100-150/天,成都,4天/周,10个月
FasTrak内容运营实习生— 上海,100-150/天,上海,3天/周,4个月
IT助理,100-150/天,苏州,4天/周,6个月
各专业编辑实习生,120-150/天,北京,2天/周,2个月
研发工程师C/C++校招（实习）,250-300/天,"杭州,深圳",4天/周,3个月
阿里巴巴站运营,100-200/天,广州,6天/周,4个月
5G无线通信前台储备工程师,100-150/天,全国,5天/周,4个月
内容运营实习生,100-150/天,北京,5天/周,3个月
用户增长实习生,100-150/天,成都,5天/周,6个月
新媒体运营实习生,1-50/天,广州,3天/周,5个月
短视频实习生,100-150/天,西安,3天/周,4个月
插画设计实习生,150-200/天,上海,3天/周,4个月
产品经理实习生,150-200/天,北京,4天/周,7个月
新媒体运营实习,200-250/天,北京,5天/周,4个月
上海数据挖掘实习生,250-300/天,上海,5天/周,4个月
分析师关系运营专员（实习,100-150/天,深圳,4天/周,4个月
产品咨询顾问,100-150/天,杭州,4天/周,4个月
电商运营管培生,150-200/天,广州,5天/周,5个月
项目助理实习生-L,150-200/天,北京,4天/周,4个月
嵌入式软件实习生,100-150/天,北京,3天/周,4个月
印尼语实习生,100-150/天,北京,3天/周,3个月
服装设计助理,150-200/天,北京,2天/周,9个月
内容运营,150-200/天,北京,5天/周,10个月
文学策划,50-100/天,上海,5天/周,7个月
产品助理,100-150/天,广州,5天/周,4个月
媒体运营实习,100-150/天,广州,4天/周,10个月
产品运营,150-200/天,北京,5天/周,11个月
活动运营实习生,150-200/天,北京,5天/周,3个月
Java后台开发实习生,250-300/天,上海,4天/周,8个月
数据标注实习生,100-150/天,成都,5天/周,10个月
排版实习生,100-150/天,北京,6天/周,3个月
教育学方向电子书编辑实习,100-150/天,北京,2天/周,4个月
社群运营,100-150/天,广州,5天/周,3个月
社会学、社工图书编辑,108-145/天,北京,1天/周,3个月
产品运营实习生,100-150/天,北京,3天/周,4个月
工程类电子书编辑,100-150/天,北京,1天/周,4个月
Technical Assistant,150-200/天,上海,3天/周,6个月
内容运营实习生,100-150/天,北京,5天/周,4个月
双端工程师,100-150/天,广州,5天/周,4个月
韩语内容运营实习生,100-150/天,北京,5天/周,4个月
运营实习生,150-200/天,北京,4天/周,4个月
H5游戏CocosCreator白鹭Egret开发工程师,200-250/天,北京,5天/周,6个月
内容运营实习生,50-100/天,北京,5天/周,4个月
电商活动运营专员,100-150/天,广州,5天/周,4个月
软件开发实习生（上海）,100-120/天,上海,5天/周,12个月
测试实习生,150-200/天,北京,4天/周,7个月
c++研发工程实习生,150-200/天,北京,5天/周,12个月
大客户经理后备,50-100/天,成都,5天/周,10个月
工艺工程师,100-150/天,北京,5天/周,3个月
头条寻人项目实习生-手环方向,150-200/天,北京,5天/周,7个月
计算机类编辑实习生,100-150/天,北京,2天/周,4个月
新媒体运营/文案编辑/内容运营实习生,150-200/天,上海,5天/周,5个月
安全运营专员（2019届实习）,100-150/天,南京,3天/周,7个月
棋牌节目运营,120-121/天,上海,5天/周,5个月
越南语内容运营实习生,200-250/天,上海,3天/周,4个月
效能部实习生,100-150/天,上海,3天/周,4个月
百度地图用户体验评估,150-200/天,北京,5天/周,10个月
运营实习生,150-200/天,北京,5天/周,4个月
技术指令员,50-100/天,重庆,5天/周,4个月
新媒体运营,100-150/天,重庆,5天/周,4个月
平面设计实习生,100-150/天,武汉,5天/周,4个月
社群运营实习生,面议,杭州,4天/周,3个月
业务运营实习生,面议,北京,5天/周,7个月
机器视觉实习生,150-200/天,南京,5天/周,7个月
品牌设计岗,200-250/天,北京,4天/周,3个月
文案策划实习生,100-150/天,西安,3天/周,5个月
运营助理,100-150/天,杭州,4天/周,4个月
测试实习生,150-200/天,北京,5天/周,7个月
软件测试,100-150/天,上海,5天/周,4个月
平面设计实习生,100-150/天,广州,5天/周,3个月
Flash实习生,100-150/天,北京,3天/周,4个月
亚马逊运营/产品运营,150-200/天,合肥,5天/周,10个月
直播运营,200-250/天,长沙,5天/周,4个月
数据处理实习生,100-150/天,北京,5天/周,4个月
管理培训生,100-180/天,上海,5天/周,12个月
软件测试实习生,100-150/天,武汉,5天/周,7个月
外观设计,50-100/天,厦门,5天/周,4个月
创投信息运营实习生,150-200/天,天津,3天/周,4个月
58同城+营销校招生,面议,成都,5天/周,4个月
运营实习生,100-150/天,广州,3天/周,4个月
美工实习生,150-200/天,上海,4天/周,5个月
英语好学生实习编辑,100-150/天,北京,2天/周,4个月
UI设计实习生,100-150/天,上海,5天/周,4个月
实习设计师,50-100/天,杭州,5天/周,12个月
网络管理员,100-150/天,北京,5天/周,4个月
运维管理实习生,150-200/天,广州,5天/周,7个月
研发工程师C/C++,250-300/天,"成都,上海,杭州",3天/周,3个月
微信小程序销售专员,150-200/天,武汉,6天/周,4个月
前端工程师（3D方向）,300-400/天,北京,4天/周,4个月
算法工程师（AI/音频/图形图像）-校招,150-200/天,广州,5天/周,13个月
算法实习生,200-300/天,北京,5天/周,14个月
短视频文案实习生,100-150/天,西安,3天/周,4个月
文案编辑实习生,100-150/天,西安,3天/周,5个月
前端开发工程师（校招）,100-150/天,广州,5天/周,4个月
活动运营实习生（北京地区）,150-200/天,北京,5天/周,10个月
视频运营实习生,100-150/天,武汉,4天/周,6个月
品牌实习生,100-150/天,广州,5天/周,5个月
开发工程师（用户）,100-150/天,上海,5天/周,2个月
精修编辑,150-200/天,北京,5天/周,4个月
亚马逊运营,100-150/天,深圳,6天/周,4个月
Social Media Intern(HR) 新媒体实习生,100-150/天,上海,3天/周,6个月
项目交付运营实习生,100-150/天,成都,5天/周,5个月
项目管理实习生,100-150/天,上海,5天/周,4个月
日语类编辑,100-150/天,北京,2天/周,4个月
仿真建模,200-250/天,成都,5天/周,8个月
clinical solution intern（生物医学工程/计算机/电子电气等专业）,100-150/天,苏州,2天/周,6个月
内容实习生,100-150/天,北京,3天/周,4个月
产品部实习生,100-150/天,上海,5天/周,4个月
测试工程师,100-180/天,上海,5天/周,4个月
外贸文员/助理实习,150-200/天,武汉,6天/周,8个月
产品经理/产品助理,100-180/天,上海,5天/周,4个月
时尚商品编辑实习生,100-150/天,北京,5天/周,5个月
新媒体内容运营,150-200/天,上海,4天/周,6个月
PD实习生,150-200/天,上海,3天/周,6个月
游戏运营实习生,面议,广州,6天/周,6个月
客户端开发工程师-Android校招（实习）,250-300/天,"杭州,深圳",5天/周,3个月
插画实习生,面议,成都,5天/周,5个月
视频剪辑实习生,100-150/天,北京,3天/周,4个月
设计实习生,100-150/天,上海,4天/周,4个月
测试实习生,200-250/天,上海,3天/周,7个月
软件研发（无锡）,100-150/天,无锡,5天/周,10个月
跨境运营助理,250-300/天,上海,5天/周,4个月
产品经理助理,150-200/天,北京,5天/周,5个月
产品专员,100-150/天,广州,5天/周,11个月
Android实习生——抖音方向,400-500/天,上海,5天/周,6个月
运维开发工程师（19届补招）,500-800/天,杭州,5天/周,7个月
软件开发测试实习生,150-200/天,苏州,5天/周,4个月
软件工程师,100-150/天,深圳,5天/周,4个月
视频剪辑实习生,100-150/天,武汉,5天/周,4个月
程序员实习生,150-200/天,南京,5天/周,12个月
java 开发工程师,200-250/天,杭州,5天/周,12个月
美工设计,200-250/天,上海,5天/周,15个月
产品工程师助理,100-150/天,上海,5天/周,10个月
视觉设计师,150-200/天,北京,5天/周,7个月
计算机电子书编辑,100-150/天,北京,5天/周,4个月
数字社交美术实习生,100-150/天,上海,5天/周,5个月
SEM实习生,100-150/天,深圳,5天/周,4个月
文案策划实习生,100-150/天,北京,5天/周,4个月
语音APP产品运营实习生,100-150/天,广州,4天/周,4个月
游戏客服专员,200-250/天,广州,7天/周,5个月
测试工程师,150-200/天,上海,5天/周,2个月
Android开发实习生,150-200/天,深圳,5天/周,7个月
数据监控实习生,100-150/天,武汉,5天/周,6个月
项目执行助理,100-150/天,南京,4天/周,5个月
产品运营助理,100-150/天,上海,3天/周,7个月
运营维护实习生,100-150/天,广州,3天/周,4个月
标注实习生,100-150/天,北京,3天/周,4个月
用户运营实习生,150-200/天,北京,4天/周,4个月
Java开发工程师,1-2/天,北京,4天/周,12个月
UI设计师（实习）,200-250/天,北京,5天/周,4个月
用户运营实习生,1-50/天,广州,3天/周,4个月
数据研发工程师校招（实习）,250-300/天,"杭州,深圳",4天/周,3个月
Java开发工程师（实习生）,100-150/天,西安,5天/周,5个月
产品开发实习生（软件）,140-160/天,北京,5天/周,6个月
IT运营实习生,100-150/天,北京,4天/周,7个月
动画设计师,100-150/天,武汉,5天/周,5个月
文案实习生,100-150/天,广州,4天/周,4个月
新媒体运营,100-150/天,北京,5天/周,3个月
wish运营实习生,100-150/天,上海,5天/周,4个月
数据分析实习生,150-200/天,深圳,5天/周,7个月
Android开发工程师,150-200/天,北京,5天/周,7个月
传媒实习生,50-100/天,西安,5天/周,4个月
销售实习生,200-250/天,济南,5天/周,4个月
商业空间设计实习生,50-100/天,上海,5天/周,4个月
产品运营实习生,80-120/天,杭州,3天/周,6个月
机器学习实习生,100-150/天,北京,4天/周,3个月
前端实习生,100-150/天,福州,3天/周,5个月
数据库实习生,150-200/天,北京,5天/周,4个月
游戏推广员实习生,100-150/天,广州,6天/周,4个月
UI/UE 设计师,150-200/天,北京,5天/周,7个月
运营实习生,100-150/天,北京,4天/周,3个月
iOS开发工程师（实习生2019届）,100-150/天,南京,3天/周,3个月
iOS开发工程师,250-300/天,广州,5天/周,4个月
音乐/艺术类图书编辑,100-150/天,北京,2天/周,4个月
投放助理实习生,100-150/天,上海,3天/周,4个月
采编实习生,100-150/天,苏州,5天/周,10个月
视觉设计实习生,250-300/天,广州,5天/周,4个月
运营/运营助理/外贸运营,150-200/天,深圳,5天/周,10个月
ERP工程师（实习生）,110-130/天,上海,3天/周,4个月
工程类专业电子教辅资料编辑,100-150/天,北京,1天/周,4个月
.NET开发工程师（实习生）,50-100/天,杭州,5天/周,11个月
用户运营实习生,100-150/天,南京,4天/周,11个月
SEM策划助理/执行实习生,50-100/天,北京,5天/周,10个月
3D设计实习生（Event类）,100-150/天,广州,4天/周,4个月
2019应届生--管培生,150-200/天,北京,6天/周,4个月
百度管培生（营销方向）,100-150/天,福州,5天/周,11个月
产品营销专员/新媒体营销专员,150-200/天,上海,5天/周,11个月
内容编辑,150-200/天,北京,5天/周,4个月
整机测试工程师,150-200/天,南京,5天/周,7个月
新媒体运营实习生,50-100/天,广州,3天/周,9个月
机器人算法工程师,250-300/天,广州,5天/周,10个月
游戏策划实习生,面议,广州,5天/周,5个月
用户研究实习生,150-200/天,深圳,5天/周,4个月
SAP  微信小程序实习生,100-150/天,上海,4天/周,6个月
自然语言处理实习生,150-200/天,北京,4天/周,4个月
产品运营实习生,100-150/天,北京,3天/周,4个月
小数题目编辑实习生（线上）,100-150/天,全国,1天/周,9个月
软件工程师,150-200/天,苏州,5天/周,4个月
产品经理实习生,150-200/天,北京,4天/周,6个月
新媒体运营/内容运营,150-200/天,上海,3天/周,11个月
电商运营实习生,100-150/天,上海,4天/周,4个月
平面设计实习生,100-150/天,成都,5天/周,9个月
商家运营实习生,100-101/天,北京,4天/周,3个月
新媒体运营实习生,100-150/天,北京,3天/周,8个月
新媒体运营,面议,北京,5天/周,4个月
电商运营实习生,100-150/天,北京,5天/周,4个月
ebay英语运营,150-200/天,上海,5天/周,7个月
后端开发工程师（Scala/Go/Java/C C++ C#）,150-200/天,北京,5天/周,7个月
赛事运营实习生,50-100/天,广州,5天/周,4个月
前端实习生,150-200/天,北京,4天/周,4个月
产品实习生,150-200/天,北京,4天/周,5个月
测试实习生-游戏方向,100-150/天,成都,5天/周,5个月
运营实习生,120-150/天,上海,1天/周,3个月
UI设计师,150-200/天,广州,3天/周,11个月
IT支持文员（实习生,150-200/天,广州,3天/周,6个月
视觉实习生（手绘方向）,200-250/天,北京,4天/周,6个月
产品交互实习生,200-250/天,上海,4天/周,4个月
传播学实习编辑,100-150/天,北京,2天/周,4个月
需求分析,100-150/天,上海,3天/周,13个月
感知算法实习生,500-800/天,北京,5天/周,4个月
深度学习算法工程师实习生,150-200/天,北京,4天/周,4个月
视频编辑实习生,100-150/天,广州,5天/周,4个月
文案实习生,100-150/天,广州,5天/周,7个月
软件测试实习生,200-250/天,上海,4天/周,4个月
平面设计实习生,120-180/天,上海,5天/周,5个月
算法工程师,100-200/天,北京,5天/周,7个月
结构设计工程师,150-200/天,西安,5天/周,5个月
毫米波雷达测试实习生,200-250/天,上海,3天/周,4个月
文案实习,150-250/天,上海,3天/周,12个月
数据专员/数据营销/市场营销,100-150/天,上海,5天/周,5个月
